ISTASYON_NO,SOKET_GUCU,SOKET_NO,SOKET_TIPI,SOKET_TURU
,22,SKT/8477,AC,AC_TYPE2
,22,SKT/8478,AC,AC_TYPE2
,22,SKT/8458,AC,AC_TYPE2
,22,SKT/8459,AC,AC_TYPE2
,60,SKT/28819,DC,DC_CCS
,60,SKT/28835,DC,DC_CCS
,60,SKT/15387,DC,DC_CCS
,60,SKT/15388,DC,DC_CCS
,22,SKT/28808,AC,AC_TYPE2
,22,SKT/2272,AC,AC_TYPE2
,22,SKT/2273,AC,AC_TYPE2
,22,SKT/1889,AC,AC_TYPE2
,22,SKT/1890,AC,AC_TYPE2
,22,SKT/10578,AC,AC_TYPE2
,22,SKT/10579,AC,AC_TYPE2
,22,SKT/10348,AC,AC_TYPE2
,22,SKT/16786,AC,AC_TYPE2
,22,SKT/1786,AC,AC_TYPE2
,22,SKT/1787,AC,AC_TYPE2
,22,SKT/26528,AC,AC_TYPE2
,22,SKT/26529,AC,AC_TYPE2
,22,SKT/1800,AC,AC_TYPE2
,22,SKT/1801,AC,AC_TYPE2
,22,SKT/1788,AC,AC_TYPE2
,22,SKT/2856,AC,AC_TYPE2
,22,SKT/15057,AC,AC_TYPE2
,22,SKT/15058,AC,AC_TYPE2
