ISTASYON_NO,SOKET_GUCU,SOKET_NO,SOKET_TIPI,SOKET_TURU
,170,SKT/32882,DC,DC_CCS
,170,SKT/32883,DC,DC_CCS
,170,SKT/32884,DC,DC_CCS
,170,SKT/33473,DC,DC_CCS
,170,SKT/33474,DC,DC_CCS
,170,SKT/32742,DC,DC_CCS
,170,SKT/32743,DC,DC_CCS
,170,SKT/32744,DC,DC_CCS
,170,SKT/32745,DC,DC_CCS
,170,SKT/39423,DC,DC_CCS
,170,SKT/39424,DC,DC_CCS
,133,SKT/34966,DC,DC_CCS
,133,SKT/34967,DC,DC_CCS
,150,SKT/34968,DC,DC_CCS
,150,SKT/34969,DC,DC_CCS
,120,SKT/34970,DC,DC_CCS
,120,SKT/34971,DC,DC_CCS
,180,SKT/34995,DC,DC_CCS
,180,SKT/34996,DC,DC_CCS
,180,SKT/34997,DC,DC_CCS
,180,SKT/34998,DC,DC_CCS
,133,SKT/35010,DC,DC_CCS
,133,SKT/35011,DC,DC_CCS
,180,SKT/34411,DC,DC_CCS
,180,SKT/34412,DC,DC_CCS
,180,SKT/34402,DC,DC_CCS
,180,SKT/34403,DC,DC_CCS
,180,SKT/32869,DC,DC_CCS
,180,SKT/32870,DC,DC_CCS
,80,SKT/32618,DC,DC_CCS
,80,SKT/32619,DC,DC_CCS
,180,SKT/32234,DC,DC_CCS
,180,SKT/32235,DC,DC_CCS
,21,SKT/41209,AC,AC_TYPE2
,21,SKT/41210,AC,AC_TYPE2
,50,SKT/41211,DC,DC_CCS
,50,SKT/41212,DC,DC_CCS
,22,SKT/9043,AC,AC_TYPE2
,22,SKT/9042,AC,AC_TYPE2
,22,SKT/13705,AC,AC_TYPE2
,22,SKT/13754,AC,AC_TYPE2
,100,SKT/13755,DC,DC_CCS
,100,SKT/13756,DC,DC_CCS
,180,SKT/41213,DC,DC_CCS
,180,SKT/41214,DC,DC_CCS
,180,SKT/41216,DC,DC_CCS
,180,SKT/41217,DC,DC_CCS
,240,SKT/41218,DC,DC_CCS
,240,SKT/41219,DC,DC_CCS
,22,SKT/41220,AC,AC_TYPE2
,180,SKT/41243,DC,DC_CCS
,180,SKT/41244,DC,DC_CCS
,22,SKT/11342,AC,AC_TYPE2
,22,SKT/11343,AC,AC_TYPE2
,22,SKT/11344,AC,AC_TYPE2
,22,SKT/41247,AC,AC_TYPE2
,22,SKT/41248,AC,AC_TYPE2
,170,SKT/37820,DC,DC_CCS
,170,SKT/37821,DC,DC_CCS
,170,SKT/37818,DC,DC_CCS
,170,SKT/37819,DC,DC_CCS
,170,SKT/34684,DC,DC_CCS
,170,SKT/34685,DC,DC_CCS
,170,SKT/34680,DC,DC_CCS
,170,SKT/34681,DC,DC_CCS
,170,SKT/34400,DC,DC_CCS
,170,SKT/34401,DC,DC_CCS
,170,SKT/33616,DC,DC_CCS
,170,SKT/33617,DC,DC_CCS
,170,SKT/33618,DC,DC_CCS
,170,SKT/33619,DC,DC_CCS
,170,SKT/33612,DC,DC_CCS
,170,SKT/33613,DC,DC_CCS
,170,SKT/33614,DC,DC_CCS
,170,SKT/33615,DC,DC_CCS
,170,SKT/33608,DC,DC_CCS
,170,SKT/33609,DC,DC_CCS
,170,SKT/33610,DC,DC_CCS
,170,SKT/33611,DC,DC_CCS
,170,SKT/33604,DC,DC_CCS
,170,SKT/33605,DC,DC_CCS
